Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE","District 09 Estimate","District 09 MOE","District 10 Estimate","District 10 MOE","District 11 Estimate","District 11 MOE","District 12 Estimate","District 12 MOE","District 13 Estimate","District 13 MOE"
Housing,"Housing Occupancy","Rental vacancy rate",8.2,"(+/- 1.5 )",4.7,"(+/- 1.6 )",11.8,"(+/- 1.7 )",5.8,"(+/- 1.3 )",9.2,"(+/- 1.7 )",4.5,"(+/- 1.5 )",6.7,"(+/- 1.3 )",7.8,"(+/- 1.4 )",6.2,"(+/- 1.5 )",6.8,"(+/- 1.6 )",5.0,"(+/- 1.5 )",7.7,"(+/- 1.5 )",5.2,"(+/- 1.2 )"
Housing,"Housing Tenure","Occupied housing units",294568,"(+/- 4699 )",305705,"(+/- 4702 )",293837,"(+/- 5993 )",341534,"(+/- 4672 )",307844,"(+/- 4691 )",300648,"(+/- 4461 )",319287,"(+/- 5385 )",298551,"(+/- 4011 )",285092,"(+/- 3959 )",301589,"(+/- 4071 )",314271,"(+/- 4743 )",337331,"(+/- 4216 )",311205,"(+/- 4148 )"
Housing,"Housing Tenure",Owner-occupied,175853,"(+/- 5133 )",227629,"(+/- 4902 )",187524,"(+/- 6442 )",191655,"(+/- 4497 )",204848,"(+/- 4679 )",211797,"(+/- 5541 )",215062,"(+/- 4791 )",195362,"(+/- 4707 )",202729,"(+/- 3889 )",206708,"(+/- 4843 )",226747,"(+/- 4531 )",175120,"(+/- 4910 )",191870,"(+/- 4844 )"
Housing,"Housing Tenure",Renter-occupied,118715,"(+/- 4785 )",78076,"(+/- 4454 )",106313,"(+/- 5291 )",149879,"(+/- 4880 )",102996,"(+/- 4434 )",88851,"(+/- 4731 )",104225,"(+/- 4933 )",103189,"(+/- 4062 )",82363,"(+/- 3578 )",94881,"(+/- 4356 )",87524,"(+/- 4263 )",162211,"(+/- 4692 )",119335,"(+/- 5566 )"
Housing,"Housing Tenure","Average household size of owner-occupied unit",2.48,"(+/- 0.04 )",2.79,"(+/- 0.05 )",2.52,"(+/- 0.05 )",2.65,"(+/- 0.05 )",2.45,"(+/- 0.05 )",2.57,"(+/- 0.05 )",2.51,"(+/- 0.05 )",2.66,"(+/- 0.05 )",2.77,"(+/- 0.05 )",2.52,"(+/- 0.04 )",2.44,"(+/- 0.04 )",2.66,"(+/- 0.06 )",2.53,"(+/- 0.05 )"
Housing,"Housing Tenure","Average household size of renter-occupied unit",2.44,"(+/- 0.07 )",2.74,"(+/- 0.10 )",2.34,"(+/- 0.08 )",2.21,"(+/- 0.06 )",2.29,"(+/- 0.07 )",2.41,"(+/- 0.08 )",2.41,"(+/- 0.09 )",2.46,"(+/- 0.08 )",2.63,"(+/- 0.09 )",2.38,"(+/- 0.09 )",2.27,"(+/- 0.08 )",2.47,"(+/- 0.06 )",2.34,"(+/- 0.06 )"
Housing,"Year Householder Moved into Unit","Occupied housing units",294568,"(+/- 4699 )",305705,"(+/- 4702 )",293837,"(+/- 5993 )",341534,"(+/- 4672 )",307844,"(+/- 4691 )",300648,"(+/- 4461 )",319287,"(+/- 5385 )",298551,"(+/- 4011 )",285092,"(+/- 3959 )",301589,"(+/- 4071 )",314271,"(+/- 4743 )",337331,"(+/- 4216 )",311205,"(+/- 4148 )"
Housing,"Year Householder Moved into Unit","Moved in 2015 or later",60094,"(+/- 4216 )",49452,"(+/- 3543 )",63083,"(+/- 4291 )",93099,"(+/- 4601 )",51686,"(+/- 3679 )",46562,"(+/- 3651 )",58501,"(+/- 3889 )",59690,"(+/- 3203 )",47805,"(+/- 2865 )",51310,"(+/- 3434 )",51397,"(+/- 3814 )",90108,"(+/- 4498 )",65521,"(+/- 3874 )"
Housing,"Year Householder Moved into Unit","Moved in 2010 to 2014",45623,"(+/- 3160 )",50947,"(+/- 3611 )",47693,"(+/- 3725 )",64794,"(+/- 4007 )",47927,"(+/- 3678 )",42982,"(+/- 3422 )",54855,"(+/- 4653 )",47920,"(+/- 3297 )",43410,"(+/- 3229 )",46645,"(+/- 2828 )",40649,"(+/- 3321 )",72271,"(+/- 4217 )",49878,"(+/- 3268 )"
Housing,"Year Householder Moved into Unit","Moved in 2000 to 2009",51442,"(+/- 3980 )",63838,"(+/- 4213 )",47147,"(+/- 4071 )",63681,"(+/- 4029 )",51415,"(+/- 3436 )",52458,"(+/- 3530 )",56091,"(+/- 3587 )",49983,"(+/- 3562 )",53380,"(+/- 3355 )",52726,"(+/- 3037 )",56793,"(+/- 3235 )",62107,"(+/- 4136 )",52177,"(+/- 3924 )"
Housing,"Year Householder Moved into Unit","Moved in 1990 to 1999",60266,"(+/- 4030 )",76103,"(+/- 4513 )",64680,"(+/- 4170 )",66441,"(+/- 4024 )",69035,"(+/- 3055 )",74068,"(+/- 3690 )",73695,"(+/- 4062 )",63648,"(+/- 3641 )",68178,"(+/- 4006 )",64833,"(+/- 3543 )",73194,"(+/- 3812 )",69438,"(+/- 3226 )",69668,"(+/- 3499 )"
Housing,"Year Householder Moved into Unit","Moved in 1980 to 1989",34998,"(+/- 2355 )",38528,"(+/- 2926 )",36361,"(+/- 2506 )",31905,"(+/- 3081 )",40703,"(+/- 2546 )",38121,"(+/- 2713 )",37370,"(+/- 3086 )",40068,"(+/- 3092 )",35352,"(+/- 2409 )",39633,"(+/- 3041 )",38826,"(+/- 2929 )",25014,"(+/- 2093 )",35525,"(+/- 2326 )"
Housing,"Year Householder Moved into Unit","Moved in 1979 and earlier",42145,"(+/- 2906 )",26837,"(+/- 2409 )",34873,"(+/- 2409 )",21614,"(+/- 2120 )",47078,"(+/- 2297 )",46457,"(+/- 2619 )",38775,"(+/- 2792 )",37242,"(+/- 2082 )",36967,"(+/- 2351 )",46442,"(+/- 2847 )",53412,"(+/- 3279 )",18393,"(+/- 1947 )",38436,"(+/- 2544 )"
Housing,Value,"Owner-occupied units",175853,"(+/- 5133 )",227629,"(+/- 4902 )",187524,"(+/- 6442 )",191655,"(+/- 4497 )",204848,"(+/- 4679 )",211797,"(+/- 5541 )",215062,"(+/- 4791 )",195362,"(+/- 4707 )",202729,"(+/- 3889 )",206708,"(+/- 4843 )",226747,"(+/- 4531 )",175120,"(+/- 4910 )",191870,"(+/- 4844 )"
Housing,Value,"Less than $50,000",21046,"(+/- 2262 )",14148,"(+/- 2273 )",18591,"(+/- 2268 )",3779,"(+/- 1045 )",17683,"(+/- 2186 )",18988,"(+/- 2509 )",21945,"(+/- 2559 )",12887,"(+/- 1939 )",17908,"(+/- 1653 )",14404,"(+/- 1531 )",18079,"(+/- 2039 )",4506,"(+/- 806 )",11298,"(+/- 1689 )"
Housing,Value,"$50,000 to $99,999",38854,"(+/- 3153 )",21318,"(+/- 2634 )",27211,"(+/- 2327 )",4417,"(+/- 1167 )",39679,"(+/- 3072 )",38396,"(+/- 2656 )",34088,"(+/- 2883 )",36000,"(+/- 2320 )",30372,"(+/- 2259 )",36835,"(+/- 2650 )",35341,"(+/- 3026 )",13537,"(+/- 1558 )",29647,"(+/- 2646 )"
Housing,Value,"$100,000 to $149,999",28397,"(+/- 2814 )",31360,"(+/- 3266 )",37212,"(+/- 3002 )",14984,"(+/- 1924 )",40671,"(+/- 2286 )",47860,"(+/- 3272 )",30744,"(+/- 2583 )",35241,"(+/- 2786 )",22595,"(+/- 1678 )",39946,"(+/- 3184 )",36741,"(+/- 2853 )",26963,"(+/- 2647 )",40033,"(+/- 3046 )"
Housing,Value,"$150,000 to $199,999",30776,"(+/- 2643 )",31994,"(+/- 2820 )",31782,"(+/- 2592 )",30345,"(+/- 2599 )",40226,"(+/- 3086 )",33722,"(+/- 2736 )",36661,"(+/- 3013 )",35310,"(+/- 2506 )",22399,"(+/- 2008 )",34999,"(+/- 2658 )",36806,"(+/- 3052 )",36741,"(+/- 2880 )",36547,"(+/- 2910 )"
Housing,Value,"$200,000 to $299,999",31966,"(+/- 2492 )",50576,"(+/- 3419 )",40029,"(+/- 3247 )",46799,"(+/- 2983 )",35926,"(+/- 2945 )",35304,"(+/- 2746 )",42567,"(+/- 2961 )",38608,"(+/- 2852 )",35531,"(+/- 2566 )",39432,"(+/- 2776 )",47189,"(+/- 3176 )",41481,"(+/- 2647 )",37308,"(+/- 2519 )"
Housing,Value,"$300,000 to $499,999",17644,"(+/- 1608 )",58721,"(+/- 3321 )",23823,"(+/- 2356 )",60630,"(+/- 3141 )",20873,"(+/- 2134 )",25790,"(+/- 2024 )",33752,"(+/- 2740 )",28383,"(+/- 2495 )",45686,"(+/- 2519 )",27474,"(+/- 2478 )",35273,"(+/- 2576 )",34226,"(+/- 2556 )",25081,"(+/- 2232 )"
Housing,Value,"$500,000 to $999,999",6320,"(+/- 1072 )",17083,"(+/- 1765 )",8085,"(+/- 1308 )",27260,"(+/- 2306 )",8315,"(+/- 1411 )",9866,"(+/- 1534 )",12692,"(+/- 1578 )",8011,"(+/- 1340 )",21423,"(+/- 1646 )",11924,"(+/- 1507 )",14909,"(+/- 1602 )",13665,"(+/- 1157 )",9529,"(+/- 1529 )"
Housing,Value,"$1,000,000 or more",850,"(+/- 377 )",2429,"(+/- 651 )",791,"(+/- 367 )",3441,"(+/- 753 )",1475,"(+/- 665 )",1871,"(+/- 689 )",2613,"(+/- 821 )",922,"(+/- 396 )",6815,"(+/- 1034 )",1694,"(+/- 444 )",2409,"(+/- 658 )",4001,"(+/- 1160 )",2427,"(+/- 733 )"
Housing,Value,"Median (dollars)",149300,"(+/- 5201 )",227000,"(+/- 6171 )",165400,"(+/- 4543 )",290500,"(+/- 5524 )",154700,"(+/- 3200 )",150800,"(+/- 4248 )",173500,"(+/- 3462 )",166500,"(+/- 3522 )",224000,"(+/- 8745 )",164900,"(+/- 3995 )",178200,"(+/- 5014 )",212400,"(+/- 5326 )",167700,"(+/- 3331 )"
Housing,"Mortgage Status","Owner-occupied units",175853,"(+/- 5133 )",227629,"(+/- 4902 )",187524,"(+/- 6442 )",191655,"(+/- 4497 )",204848,"(+/- 4679 )",211797,"(+/- 5541 )",215062,"(+/- 4791 )",195362,"(+/- 4707 )",202729,"(+/- 3889 )",206708,"(+/- 4843 )",226747,"(+/- 4531 )",175120,"(+/- 4910 )",191870,"(+/- 4844 )"
Housing,"Mortgage Status","Housing units with a mortgage",104407,"(+/- 4926 )",157553,"(+/- 4515 )",110157,"(+/- 5458 )",140471,"(+/- 4573 )",113221,"(+/- 4481 )",126069,"(+/- 5106 )",122847,"(+/- 4920 )",126174,"(+/- 4978 )",128207,"(+/- 3974 )",117713,"(+/- 4432 )",117829,"(+/- 4307 )",136601,"(+/- 4844 )",122486,"(+/- 4438 )"
Housing,"Mortgage Status","Housing units without a mortgage",71446,"(+/- 3714 )",70076,"(+/- 4108 )",77367,"(+/- 4185 )",51184,"(+/- 2969 )",91627,"(+/- 3715 )",85728,"(+/- 4263 )",92215,"(+/- 3967 )",69188,"(+/- 3194 )",74522,"(+/- 3201 )",88995,"(+/- 3503 )",108918,"(+/- 4298 )",38519,"(+/- 2828 )",69384,"(+/- 3711 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Housing units with a mortgage",104407,"(+/- 4926 )",157553,"(+/- 4515 )",110157,"(+/- 5458 )",140471,"(+/- 4573 )",113221,"(+/- 4481 )",126069,"(+/- 5106 )",122847,"(+/- 4920 )",126174,"(+/- 4978 )",128207,"(+/- 3974 )",117713,"(+/- 4432 )",117829,"(+/- 4307 )",136601,"(+/- 4844 )",122486,"(+/- 4438 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Less than $500",2384,"(+/- 809 )",1688,"(+/- 704 )",1475,"(+/- 617 )",597,"(+/- 280 )",3194,"(+/- 766 )",3536,"(+/- 1109 )",2389,"(+/- 972 )",1938,"(+/- 646 )",2450,"(+/- 760 )",3518,"(+/- 854 )",2620,"(+/- 727 )",1364,"(+/- 514 )",3393,"(+/- 758 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$500 to $999",31129,"(+/- 3059 )",30733,"(+/- 2812 )",27739,"(+/- 3244 )",22043,"(+/- 2659 )",40265,"(+/- 3069 )",42994,"(+/- 3425 )",32923,"(+/- 3207 )",36220,"(+/- 2964 )",26433,"(+/- 2250 )",38454,"(+/- 2566 )",44392,"(+/- 3135 )",27763,"(+/- 2327 )",40879,"(+/- 3383 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,000 to $1,499",39347,"(+/- 3282 )",47561,"(+/- 3285 )",41839,"(+/- 3322 )",43903,"(+/- 3688 )",40464,"(+/- 2843 )",41006,"(+/- 3117 )",42368,"(+/- 3653 )",43852,"(+/- 3175 )",36463,"(+/- 2621 )",42263,"(+/- 2917 )",40040,"(+/- 2893 )",52731,"(+/- 3360 )",41060,"(+/- 3087 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,500 to $1,999",18438,"(+/- 2427 )",35648,"(+/- 2965 )",22937,"(+/- 2660 )",31238,"(+/- 3054 )",16368,"(+/- 1751 )",21452,"(+/- 2211 )",23889,"(+/- 2421 )",24993,"(+/- 2885 )",26684,"(+/- 2336 )",16429,"(+/- 1755 )",16560,"(+/- 1945 )",28290,"(+/- 2455 )",20527,"(+/- 1844 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$2,000 to $2,499",7125,"(+/- 1376 )",21622,"(+/- 2086 )",8735,"(+/- 1263 )",17681,"(+/- 2185 )",5976,"(+/- 931 )",8682,"(+/- 1138 )",9811,"(+/- 1278 )",11707,"(+/- 1670 )",14269,"(+/- 1595 )",8550,"(+/- 1407 )",7841,"(+/- 1381 )",12859,"(+/- 1667 )",7827,"(+/- 1185 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$2,500 to $2,999",3092,"(+/- 881 )",12686,"(+/- 1773 )",4074,"(+/- 917 )",11394,"(+/- 1460 )",2822,"(+/- 780 )",3535,"(+/- 942 )",5565,"(+/- 1303 )",4421,"(+/- 1014 )",9040,"(+/- 1519 )",3773,"(+/- 1081 )",3289,"(+/- 883 )",5067,"(+/- 1091 )",4843,"(+/- 909 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$3,000 or more",2892,"(+/- 798 )",7615,"(+/- 1346 )",3358,"(+/- 724 )",13615,"(+/- 1676 )",4132,"(+/- 769 )",4864,"(+/- 945 )",5902,"(+/- 1073 )",3043,"(+/- 747 )",12868,"(+/- 1366 )",4726,"(+/- 964 )",3087,"(+/- 705 )",8527,"(+/- 1355 )",3957,"(+/- 903 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Median (dollars)",1211,"(+/- 31 )",1487,"(+/- 34 )",1290,"(+/- 39 )",1553,"(+/- 43 )",1139,"(+/- 22 )",1163,"(+/- 24 )",1285,"(+/- 37 )",1257,"(+/- 37 )",1481,"(+/- 36 )",1167,"(+/- 20 )",1133,"(+/- 29 )",1362,"(+/- 20 )",1181,"(+/- 25 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Housing units without a mortgage",71446,"(+/- 3714 )",70076,"(+/- 4108 )",77367,"(+/- 4185 )",51184,"(+/- 2969 )",91627,"(+/- 3715 )",85728,"(+/- 4263 )",92215,"(+/- 3967 )",69188,"(+/- 3194 )",74522,"(+/- 3201 )",88995,"(+/- 3503 )",108918,"(+/- 4298 )",38519,"(+/- 2828 )",69384,"(+/- 3711 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Less than $250",9458,"(+/- 1325 )",8586,"(+/- 1903 )",9807,"(+/- 1620 )",2696,"(+/- 934 )",20835,"(+/- 1724 )",16614,"(+/- 2058 )",11021,"(+/- 1962 )",9773,"(+/- 1539 )",10082,"(+/- 1274 )",18159,"(+/- 1973 )",30944,"(+/- 2661 )",3485,"(+/- 910 )",10480,"(+/- 1603 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$250 to $399",21864,"(+/- 1939 )",18680,"(+/- 1919 )",23646,"(+/- 2664 )",9434,"(+/- 1594 )",36710,"(+/- 2439 )",32949,"(+/- 2636 )",29169,"(+/- 2268 )",25763,"(+/- 2579 )",21205,"(+/- 2203 )",35343,"(+/- 2643 )",41735,"(+/- 3012 )",11668,"(+/- 1581 )",24867,"(+/- 2036 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$400 to $599",25729,"(+/- 2492 )",24359,"(+/- 2849 )",28361,"(+/- 2494 )",16615,"(+/- 1763 )",24545,"(+/- 2559 )",23422,"(+/- 2385 )",30409,"(+/- 2671 )",20580,"(+/- 2276 )",22445,"(+/- 1872 )",23398,"(+/- 1809 )",23620,"(+/- 2160 )",13525,"(+/- 1705 )",22966,"(+/- 2220 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$600 to $799",8856,"(+/- 1183 )",11551,"(+/- 1801 )",10469,"(+/- 1447 )",13503,"(+/- 1784 )",5907,"(+/- 1127 )",8150,"(+/- 1380 )",12506,"(+/- 1890 )",9810,"(+/- 1500 )",12163,"(+/- 1643 )",8000,"(+/- 1281 )",7600,"(+/- 1306 )",5726,"(+/- 1136 )",6507,"(+/- 991 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$800 to $999",3550,"(+/- 999 )",4314,"(+/- 844 )",3318,"(+/- 783 )",4101,"(+/- 991 )",1980,"(+/- 607 )",3265,"(+/- 1052 )",6109,"(+/- 1233 )",1294,"(+/- 522 )",3701,"(+/- 927 )",1898,"(+/- 638 )",2911,"(+/- 893 )",2498,"(+/- 731 )",2381,"(+/- 664 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,000 or more",1989,"(+/- 583 )",2586,"(+/- 657 )",1766,"(+/- 553 )",4835,"(+/- 838 )",1650,"(+/- 468 )",1328,"(+/- 521 )",3001,"(+/- 839 )",1968,"(+/- 755 )",4926,"(+/- 939 )",2197,"(+/- 732 )",2108,"(+/- 666 )",1617,"(+/- 552 )",2183,"(+/- 714 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Median (dollars)",429,"(+/- 10 )",454,"(+/- 12 )",433,"(+/- 11 )",565,"(+/- 19 )",355,"(+/- 8 )",370,"(+/- 11 )",436,"(+/- 14 )",394,"(+/- 12 )",448,"(+/- 16 )",359,"(+/- 11 )",332,"(+/- 9 )",454,"(+/- 17 )",396,"(+/- 13 )"
Housing,"Gross Rent","Occupied units paying rent",110047,"(+/- 4974 )",73444,"(+/- 4350 )",98878,"(+/- 5141 )",146959,"(+/- 4828 )",96340,"(+/- 4097 )",81025,"(+/- 4457 )",95893,"(+/- 4749 )",96076,"(+/- 3997 )",74173,"(+/- 3435 )",87896,"(+/- 4030 )",77785,"(+/- 4075 )",159332,"(+/- 4758 )",112402,"(+/- 5101 )"
Housing,"Gross Rent","Less than $500",14330,"(+/- 2097 )",5967,"(+/- 1216 )",12470,"(+/- 2078 )",5409,"(+/- 1716 )",16416,"(+/- 1834 )",11754,"(+/- 1773 )",12499,"(+/- 1959 )",7867,"(+/- 1582 )",10405,"(+/- 1404 )",11147,"(+/- 1986 )",13344,"(+/- 2031 )",7255,"(+/- 1383 )",10143,"(+/- 1685 )"
Housing,"Gross Rent","$500 to $999",59378,"(+/- 4548 )",34398,"(+/- 3314 )",51129,"(+/- 3621 )",42123,"(+/- 3570 )",59548,"(+/- 3578 )",51524,"(+/- 3572 )",46221,"(+/- 3597 )",52772,"(+/- 3539 )",32612,"(+/- 2730 )",52425,"(+/- 3623 )",47850,"(+/- 3098 )",47406,"(+/- 3850 )",70170,"(+/- 5236 )"
Housing,"Gross Rent","$1,000 to $1,499",28095,"(+/- 3221 )",23128,"(+/- 2674 )",29033,"(+/- 3297 )",70416,"(+/- 3798 )",16517,"(+/- 2140 )",14239,"(+/- 2148 )",27960,"(+/- 3198 )",28011,"(+/- 1778 )",19236,"(+/- 2373 )",19863,"(+/- 2332 )",12049,"(+/- 1966 )",76720,"(+/- 4344 )",25871,"(+/- 2811 )"
Housing,"Gross Rent","$1,500 to $1,999",6465,"(+/- 1601 )",6887,"(+/- 1542 )",5321,"(+/- 1267 )",21705,"(+/- 2883 )",2712,"(+/- 994 )",1744,"(+/- 763 )",7751,"(+/- 1710 )",5719,"(+/- 1245 )",7303,"(+/- 1631 )",2690,"(+/- 811 )",2614,"(+/- 930 )",21730,"(+/- 2083 )",4241,"(+/- 948 )"
Housing,"Gross Rent","$2,000 to $2,499",1390,"(+/- 695 )",1793,"(+/- 760 )",880,"(+/- 578 )",4463,"(+/- 1114 )",778,"(+/- 372 )",585,"(+/- 370 )",513,"(+/- 330 )",1136,"(+/- 419 )",2303,"(+/- 815 )",940,"(+/- 513 )",1118,"(+/- 498 )",5057,"(+/- 1258 )",1259,"(+/- 544 )"
Housing,"Gross Rent","$2,500 to $2,999",74,"(+/- 94 )",890,"(+/- 756 )",0,"(+/- 210 )",1212,"(+/- 680 )",293,"(+/- 297 )",462,"(+/- 333 )",546,"(+/- 489 )",440,"(+/- 384 )",1396,"(+/- 608 )",528,"(+/- 306 )",353,"(+/- 422 )",724,"(+/- 337 )",219,"(+/- 264 )"
Housing,"Gross Rent","$3,000 or more",315,"(+/- 210 )",381,"(+/- 153 )",45,"(+/- 79 )",1631,"(+/- 622 )",76,"(+/- 99 )",717,"(+/- 489 )",403,"(+/- 371 )",131,"(+/- 157 )",918,"(+/- 515 )",303,"(+/- 221 )",457,"(+/- 288 )",440,"(+/- 532 )",499,"(+/- 407 )"
Housing,"Gross Rent","Median (dollars)",829,"(+/- 26 )",956,"(+/- 27 )",876,"(+/- 32 )",1152,"(+/- 18 )",744,"(+/- 18 )",771,"(+/- 25 )",878,"(+/- 29 )",896,"(+/- 18 )",885,"(+/- 29 )",819,"(+/- 16 )",721,"(+/- 24 )",1137,"(+/- 16 )",827,"(+/- 19 )"
Housing,"Gross Rent","No rent paid",8668,"(+/- 1478 )",4632,"(+/- 1083 )",7435,"(+/- 1470 )",2920,"(+/- 952 )",6656,"(+/- 1576 )",7826,"(+/- 1651 )",8332,"(+/- 1692 )",7113,"(+/- 1349 )",8190,"(+/- 1356 )",6985,"(+/- 1427 )",9739,"(+/- 1716 )",2879,"(+/- 930 )",6933,"(+/- 1498 )"
Socioeconomic,"Income and Benefits (In 2018 inflation-adjusted dollars)","Total households",294568,"(+/- 4699 )",305705,"(+/- 4702 )",293837,"(+/- 5993 )",341534,"(+/- 4672 )",307844,"(+/- 4691 )",300648,"(+/- 4461 )",319287,"(+/- 5385 )",298551,"(+/- 4011 )",285092,"(+/- 3959 )",301589,"(+/- 4071 )",314271,"(+/- 4743 )",337331,"(+/- 4216 )",311205,"(+/- 4148 )"
Socioeconomic,"Income and Benefits (In 2018 inflation-adjusted dollars)","Less than $10,000",26971,"(+/- 3251 )",11061,"(+/- 1689 )",22710,"(+/- 2420 )",14376,"(+/- 2137 )",25644,"(+/- 2416 )",20589,"(+/- 2340 )",27105,"(+/- 3144 )",18940,"(+/- 1882 )",16580,"(+/- 1507 )",18708,"(+/- 1995 )",18867,"(+/- 2115 )",18635,"(+/- 2431 )",18974,"(+/- 2429 )"
Socioeconomic,"Income and Benefits (In 2018 inflation-adjusted dollars)","$10,000 to $14,999",20273,"(+/- 2596 )",10229,"(+/- 1895 )",13189,"(+/- 1808 )",10398,"(+/- 1798 )",16593,"(+/- 2299 )",14373,"(+/- 2033 )",16347,"(+/- 2260 )",14308,"(+/- 1792 )",15161,"(+/- 1926 )",17690,"(+/- 2342 )",20138,"(+/- 2328 )",11232,"(+/- 2003 )",16274,"(+/- 2199 )"
Socioeconomic,"Income and Benefits (In 2018 inflation-adjusted dollars)","$15,000 to $24,999",34578,"(+/- 2969 )",21295,"(+/- 2534 )",32862,"(+/- 3548 )",23047,"(+/- 2849 )",38296,"(+/- 3197 )",32742,"(+/- 2614 )",39984,"(+/- 3843 )",30852,"(+/- 2634 )",25197,"(+/- 2161 )",34026,"(+/- 2975 )",37944,"(+/- 3287 )",29406,"(+/- 2831 )",33512,"(+/- 2981 )"
Socioeconomic,"Income and Benefits (In 2018 inflation-adjusted dollars)","$25,000 to $34,999",33531,"(+/- 2910 )",23773,"(+/- 2588 )",33038,"(+/- 3505 )",26340,"(+/- 2757 )",33534,"(+/- 2865 )",33409,"(+/- 2984 )",31366,"(+/- 3000 )",30862,"(+/- 2546 )",26951,"(+/- 2330 )",31462,"(+/- 2873 )",38999,"(+/- 3115 )",33735,"(+/- 3310 )",34162,"(+/- 3095 )"
Socioeconomic,"Income and Benefits (In 2018 inflation-adjusted dollars)","$35,000 to $49,999",43877,"(+/- 3467 )",40191,"(+/- 3160 )",43625,"(+/- 3475 )",39329,"(+/- 3547 )",47011,"(+/- 3524 )",44398,"(+/- 2984 )",45975,"(+/- 3244 )",44589,"(+/- 2938 )",36092,"(+/- 2460 )",43789,"(+/- 3523 )",46873,"(+/- 3675 )",47750,"(+/- 3823 )",49225,"(+/- 3585 )"
Socioeconomic,"Income and Benefits (In 2018 inflation-adjusted dollars)","$50,000 to $74,999",47753,"(+/- 3510 )",54596,"(+/- 3967 )",57937,"(+/- 3975 )",61333,"(+/- 4438 )",56074,"(+/- 4203 )",54600,"(+/- 3737 )",60874,"(+/- 4081 )",55749,"(+/- 3371 )",43891,"(+/- 2956 )",58855,"(+/- 3605 )",57250,"(+/- 3874 )",63862,"(+/- 3798 )",57576,"(+/- 3978 )"
Socioeconomic,"Income and Benefits (In 2018 inflation-adjusted dollars)","$75,000 to $99,999",34203,"(+/- 3638 )",39799,"(+/- 3547 )",37185,"(+/- 2710 )",46132,"(+/- 4027 )",36032,"(+/- 3193 )",33976,"(+/- 3037 )",38286,"(+/- 3222 )",37411,"(+/- 2801 )",32079,"(+/- 2739 )",37605,"(+/- 2934 )",37999,"(+/- 2592 )",41027,"(+/- 2978 )",36029,"(+/- 2925 )"
Socioeconomic,"Income and Benefits (In 2018 inflation-adjusted dollars)","$100,000 to $149,999",30569,"(+/- 2857 )",51781,"(+/- 3382 )",34929,"(+/- 3266 )",55892,"(+/- 3913 )",31877,"(+/- 2452 )",39462,"(+/- 2780 )",36218,"(+/- 3200 )",39097,"(+/- 2984 )",42782,"(+/- 2841 )",37479,"(+/- 2373 )",34868,"(+/- 2851 )",47876,"(+/- 3388 )",39078,"(+/- 2840 )"
Socioeconomic,"Income and Benefits (In 2018 inflation-adjusted dollars)","$150,000 to $199,000",11291,"(+/- 1690 )",22685,"(+/- 2487 )",10377,"(+/- 1602 )",27473,"(+/- 2843 )",10169,"(+/- 1500 )",13323,"(+/- 1545 )",11139,"(+/- 1465 )",13359,"(+/- 1799 )",19848,"(+/- 2060 )",10357,"(+/- 1405 )",9770,"(+/- 1566 )",19650,"(+/- 2175 )",13068,"(+/- 1513 )"
Socioeconomic,"Income and Benefits (In 2018 inflation-adjusted dollars)","$200,000 or more",11522,"(+/- 1636 )",30295,"(+/- 2924 )",7985,"(+/- 1714 )",37214,"(+/- 2942 )",12614,"(+/- 1660 )",13776,"(+/- 1673 )",11993,"(+/- 1471 )",13384,"(+/- 1695 )",26511,"(+/- 1934 )",11618,"(+/- 1284 )",11563,"(+/- 1795 )",24158,"(+/- 2256 )",13307,"(+/- 1645 )"
Socioeconomic,"Income and Benefits (In 2018 inflation-adjusted dollars)","Median household income (dollars)",45286,"(+/- 1409 )",71232,"(+/- 1822 )",50333,"(+/- 1215 )",72739,"(+/- 2585 )",47651,"(+/- 1509 )",51377,"(+/- 1346 )",49561,"(+/- 1592 )",52713,"(+/- 1357 )",61156,"(+/- 2002 )",51554,"(+/- 1469 )",47579,"(+/- 1735 )",57605,"(+/- 1827 )",50928,"(+/- 1058 )"
