Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","18 years and over",9.8,"(+/- 0.8 )",10.0,"(+/- 0.8 )",12.4,"(+/- 1.0 )",7.9,"(+/- 0.6 )",8.8,"(+/- 0.7 )",6.2,"(+/- 0.6 )",7.9,"(+/- 1.0 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","65 years and over",9.9,"(+/- 1.6 )",5.6,"(+/- 1.0 )",10.0,"(+/- 1.7 )",7.4,"(+/- 1.1 )",6.6,"(+/- 1.1 )",5.9,"(+/- 1.6 )",6.3,"(+/- 1.2 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","People in families",8.3,"(+/- 1.3 )",4.2,"(+/- 0.8 )",10.2,"(+/- 1.2 )",6.3,"(+/- 0.9 )",7.4,"(+/- 1.2 )",5.2,"(+/- 0.8 )",6.4,"(+/- 1.3 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Unrelated individuals 15 years and over",16.0,"(+/- 1.3 )",23.8,"(+/- 2.0 )",25.1,"(+/- 1.7 )",20.8,"(+/- 1.7 )",20.6,"(+/- 1.8 )",15.0,"(+/- 1.7 )",16.8,"(+/- 1.8 )"
Education,"School Enrollment","Population 3 years and over enrolled in school",181213,"(+/- 5367 )",221575,"(+/- 6519 )",175069,"(+/- 5362 )",210494,"(+/- 4702 )",212222,"(+/- 5034 )",214922,"(+/- 6154 )",189491,"(+/- 5346 )"
Education,"School Enrollment","Nursery school, preschool",12314,"(+/- 1474 )",12370,"(+/- 1640 )",11142,"(+/- 1697 )",15842,"(+/- 1676 )",13117,"(+/- 1963 )",15303,"(+/- 1906 )",14091,"(+/- 2026 )"
Education,"School Enrollment",Kindergarten,11078,"(+/- 1941 )",5884,"(+/- 1047 )",8238,"(+/- 1332 )",12526,"(+/- 1598 )",10439,"(+/- 1625 )",10667,"(+/- 1447 )",9068,"(+/- 1488 )"
Education,"School Enrollment","Elementary school (grades 1-8)",68394,"(+/- 3480 )",74097,"(+/- 3322 )",73596,"(+/- 3265 )",93178,"(+/- 3312 )",84478,"(+/- 2416 )",92321,"(+/- 3466 )",82868,"(+/- 3447 )"
Education,"School Enrollment","High school (grades 9-12)",33125,"(+/- 2365 )",38664,"(+/- 2440 )",41262,"(+/- 3074 )",48365,"(+/- 2466 )",40501,"(+/- 1950 )",51517,"(+/- 3005 )",40730,"(+/- 2399 )"
Education,"School Enrollment","College or graduate school",56302,"(+/- 4264 )",90560,"(+/- 4916 )",40831,"(+/- 3048 )",40583,"(+/- 3096 )",63687,"(+/- 3763 )",45114,"(+/- 4151 )",42734,"(+/- 3487 )"
Education,"Educational Attainment","Population 25 years and over",610028,"(+/- 3842 )",552557,"(+/- 5558 )",522152,"(+/- 5506 )",559028,"(+/- 5238 )",544143,"(+/- 2225 )",561380,"(+/- 6272 )",550999,"(+/- 6255 )"
Education,"Educational Attainment","Less than 9th grade",30687,"(+/- 3638 )",5949,"(+/- 1777 )",17268,"(+/- 2727 )",18902,"(+/- 2682 )",12015,"(+/- 2124 )",18458,"(+/- 2351 )",24384,"(+/- 2957 )"
Education,"Educational Attainment","9th to 12th grade, no diploma",34458,"(+/- 3635 )",13367,"(+/- 2193 )",30121,"(+/- 3362 )",25623,"(+/- 2654 )",25081,"(+/- 3120 )",24378,"(+/- 2645 )",36425,"(+/- 3636 )"
Education,"Educational Attainment","High school graduate (includes equivalency)",97198,"(+/- 5578 )",77211,"(+/- 4840 )",139754,"(+/- 6664 )",129240,"(+/- 4741 )",114460,"(+/- 5132 )",120478,"(+/- 5626 )",134274,"(+/- 6740 )"
Education,"Educational Attainment","Some college, no degree",103321,"(+/- 6322 )",103962,"(+/- 5527 )",124438,"(+/- 5901 )",129810,"(+/- 5287 )",129628,"(+/- 5837 )",108296,"(+/- 4847 )",116297,"(+/- 5206 )"
Education,"Educational Attainment","Associate's degree",34761,"(+/- 3226 )",42350,"(+/- 3728 )",44230,"(+/- 3614 )",54231,"(+/- 3239 )",60296,"(+/- 4001 )",50543,"(+/- 3943 )",42844,"(+/- 3015 )"
Education,"Educational Attainment","Bachelor's degree",190096,"(+/- 5916 )",181036,"(+/- 5746 )",110078,"(+/- 5331 )",135781,"(+/- 5649 )",120913,"(+/- 4778 )",150419,"(+/- 5091 )",125666,"(+/- 5133 )"
Education,"Educational Attainment","Graduate or professional degree",119507,"(+/- 6595 )",128682,"(+/- 6205 )",56263,"(+/- 3641 )",65441,"(+/- 3682 )",81750,"(+/- 4428 )",88808,"(+/- 4400 )",71109,"(+/- 4051 )"
Education,"Educational Attainment","Percent high school graduate or higher",89.3,"(+/- 0.8 )",96.5,"(+/- 0.5 )",90.9,"(+/- 0.7 )",92.0,"(+/- 0.7 )",93.2,"(+/- 0.8 )",92.4,"(+/- 0.6 )",89.0,"(+/- 0.8 )"
Education,"Educational Attainment","Percent bachelor's degree or higher",50.8,"(+/- 1.1 )",56.1,"(+/- 1.3 )",31.9,"(+/- 1.2 )",36.0,"(+/- 1.0 )",37.2,"(+/- 1.1 )",42.6,"(+/- 1.0 )",35.7,"(+/- 1.0 )"
