Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE","District 09 Estimate","District 09 MOE","District 10 Estimate","District 10 MOE","District 11 Estimate","District 11 MOE","District 12 Estimate","District 12 MOE"
Housing,"Year Householder Moved into Unit","Moved in 1990 to 1999",62044,"(+/- 3309 )",72314,"(+/- 3851 )",75121,"(+/- 3726 )",71894,"(+/- 4057 )",63652,"(+/- 3545 )",53104,"(+/- 3291 )",63435,"(+/- 3622 )",55329,"(+/- 4366 )",67407,"(+/- 3913 )",60773,"(+/- 4800 )",65245,"(+/- 3756 )",71813,"(+/- 3755 )"
Housing,"Year Householder Moved into Unit","Moved in 1980 to 1989",35855,"(+/- 2503 )",34887,"(+/- 2379 )",41686,"(+/- 3000 )",43104,"(+/- 2822 )",43830,"(+/- 2945 )",32906,"(+/- 2466 )",46797,"(+/- 2734 )",25944,"(+/- 3000 )",31096,"(+/- 2439 )",28432,"(+/- 2487 )",45031,"(+/- 3153 )",38177,"(+/- 2574 )"
Housing,"Year Householder Moved into Unit","Moved in 1979 and earlier",49128,"(+/- 2950 )",44478,"(+/- 2571 )",41642,"(+/- 2357 )",36010,"(+/- 2709 )",49850,"(+/- 3185 )",38774,"(+/- 2560 )",42605,"(+/- 2280 )",22568,"(+/- 2158 )",32329,"(+/- 2157 )",29252,"(+/- 2291 )",46585,"(+/- 2728 )",35706,"(+/- 2663 )"
Housing,Value,"Owner-occupied units",184676,"(+/- 3668 )",192799,"(+/- 3718 )",224031,"(+/- 3972 )",211716,"(+/- 4644 )",200732,"(+/- 4713 )",153590,"(+/- 4170 )",202678,"(+/- 3791 )",85353,"(+/- 4065 )",130644,"(+/- 4821 )",106700,"(+/- 4688 )",207204,"(+/- 4775 )",178825,"(+/- 4257 )"
Housing,Value,"Less than $50,000",7163,"(+/- 1193 )",7361,"(+/- 1304 )",7534,"(+/- 1108 )",6956,"(+/- 1287 )",2528,"(+/- 639 )",3310,"(+/- 992 )",1844,"(+/- 563 )",1721,"(+/- 556 )",2614,"(+/- 794 )",3513,"(+/- 778 )",1606,"(+/- 554 )",3784,"(+/- 1078 )"
Housing,Value,"$50,000 to $99,999",12289,"(+/- 1612 )",12527,"(+/- 1661 )",4539,"(+/- 1003 )",6698,"(+/- 1231 )",1461,"(+/- 525 )",1675,"(+/- 570 )",2801,"(+/- 865 )",820,"(+/- 413 )",1472,"(+/- 689 )",1208,"(+/- 426 )",1426,"(+/- 528 )",7392,"(+/- 1403 )"
Housing,Value,"$100,000 to $149,999",27519,"(+/- 2317 )",24299,"(+/- 2689 )",16866,"(+/- 1751 )",9128,"(+/- 1644 )",6312,"(+/- 1181 )",2744,"(+/- 741 )",3314,"(+/- 748 )",1437,"(+/- 580 )",2959,"(+/- 614 )",6248,"(+/- 1135 )",3130,"(+/- 801 )",7070,"(+/- 1717 )"
Housing,Value,"$150,000 to $199,999",43483,"(+/- 2535 )",37098,"(+/- 2774 )",36282,"(+/- 2161 )",11232,"(+/- 1942 )",8812,"(+/- 1655 )",6830,"(+/- 1333 )",5735,"(+/- 1055 )",4741,"(+/- 1103 )",5447,"(+/- 1097 )",10887,"(+/- 1499 )",5135,"(+/- 1080 )",11785,"(+/- 1726 )"
Housing,Value,"$200,000 to $299,999",57302,"(+/- 3119 )",55858,"(+/- 3395 )",70690,"(+/- 3400 )",37121,"(+/- 3007 )",26862,"(+/- 2365 )",38306,"(+/- 2916 )",29374,"(+/- 2404 )",16759,"(+/- 1979 )",22507,"(+/- 2204 )",29772,"(+/- 2781 )",24699,"(+/- 2025 )",38091,"(+/- 2843 )"
Housing,Value,"$300,000 to $499,999",29619,"(+/- 2248 )",37414,"(+/- 2501 )",66700,"(+/- 3372 )",77532,"(+/- 3543 )",76446,"(+/- 3367 )",68480,"(+/- 3497 )",72582,"(+/- 3288 )",32670,"(+/- 2696 )",61869,"(+/- 3610 )",36687,"(+/- 3012 )",84073,"(+/- 3557 )",65734,"(+/- 3337 )"
Housing,Value,"$500,000 to $999,999",5715,"(+/- 870 )",14699,"(+/- 1749 )",18126,"(+/- 1678 )",53230,"(+/- 2948 )",65211,"(+/- 2911 )",29054,"(+/- 2100 )",71208,"(+/- 3501 )",22212,"(+/- 2185 )",27801,"(+/- 2396 )",16041,"(+/- 1911 )",75540,"(+/- 3506 )",40249,"(+/- 2879 )"
Housing,Value,"$1,000,000 or more",1586,"(+/- 574 )",3543,"(+/- 644 )",3294,"(+/- 617 )",9819,"(+/- 1243 )",13100,"(+/- 1474 )",3191,"(+/- 873 )",15820,"(+/- 1576 )",4993,"(+/- 1100 )",5975,"(+/- 970 )",2344,"(+/- 662 )",11595,"(+/- 1350 )",4720,"(+/- 888 )"
Housing,Value,"Median (dollars)",202700,"(+/- 4364 )",223200,"(+/- 4834 )",268000,"(+/- 3823 )",378200,"(+/- 7013 )",435200,"(+/- 6986 )",355400,"(+/- 5197 )",456400,"(+/- 8319 )",380100,"(+/- 9674 )",385500,"(+/- 6073 )",306400,"(+/- 8863 )",457700,"(+/- 7365 )",354100,"(+/- 6998 )"
Housing,"Mortgage Status","Owner-occupied units",184676,"(+/- 3668 )",192799,"(+/- 3718 )",224031,"(+/- 3972 )",211716,"(+/- 4644 )",200732,"(+/- 4713 )",153590,"(+/- 4170 )",202678,"(+/- 3791 )",85353,"(+/- 4065 )",130644,"(+/- 4821 )",106700,"(+/- 4688 )",207204,"(+/- 4775 )",178825,"(+/- 4257 )"
Housing,"Mortgage Status","Housing units with a mortgage",122931,"(+/- 3681 )",120008,"(+/- 3920 )",149802,"(+/- 3947 )",134801,"(+/- 4097 )",130612,"(+/- 4314 )",103988,"(+/- 4054 )",137844,"(+/- 3866 )",57075,"(+/- 3060 )",84536,"(+/- 4811 )",76859,"(+/- 4626 )",142077,"(+/- 4300 )",117112,"(+/- 4413 )"
Housing,"Mortgage Status","Housing units without a mortgage",61745,"(+/- 3251 )",72791,"(+/- 2846 )",74229,"(+/- 3421 )",76915,"(+/- 3978 )",70120,"(+/- 3447 )",49602,"(+/- 2582 )",64834,"(+/- 3422 )",28278,"(+/- 2788 )",46108,"(+/- 3148 )",29841,"(+/- 2275 )",65127,"(+/- 3453 )",61713,"(+/- 3605 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Housing units with a mortgage",122931,"(+/- 3681 )",120008,"(+/- 3920 )",149802,"(+/- 3947 )",134801,"(+/- 4097 )",130612,"(+/- 4314 )",103988,"(+/- 4054 )",137844,"(+/- 3866 )",57075,"(+/- 3060 )",84536,"(+/- 4811 )",76859,"(+/- 4626 )",142077,"(+/- 4300 )",117112,"(+/- 4413 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Less than $500",89,"(+/- 153 )",208,"(+/- 207 )",579,"(+/- 287 )",216,"(+/- 182 )",78,"(+/- 91 )",91,"(+/- 153 )",0,"(+/- 210 )",0,"(+/- 210 )",78,"(+/- 90 )",49,"(+/- 84 )",128,"(+/- 167 )",104,"(+/- 87 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$500 to $999",8325,"(+/- 1474 )",6491,"(+/- 1454 )",9290,"(+/- 1324 )",4264,"(+/- 905 )",1541,"(+/- 697 )",1680,"(+/- 599 )",2992,"(+/- 845 )",749,"(+/- 324 )",1473,"(+/- 635 )",997,"(+/- 384 )",934,"(+/- 417 )",2394,"(+/- 692 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,000 to $1,499",24252,"(+/- 2380 )",29589,"(+/- 2595 )",26130,"(+/- 2504 )",15329,"(+/- 1954 )",9271,"(+/- 1671 )",11114,"(+/- 1617 )",9244,"(+/- 1547 )",2805,"(+/- 797 )",3688,"(+/- 993 )",7510,"(+/- 1304 )",6949,"(+/- 1130 )",12980,"(+/- 1777 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,500 to $1,999",37937,"(+/- 2524 )",33522,"(+/- 3143 )",41735,"(+/- 2955 )",25246,"(+/- 2731 )",19167,"(+/- 1980 )",20126,"(+/- 2416 )",15169,"(+/- 1651 )",9100,"(+/- 1569 )",12050,"(+/- 1686 )",15897,"(+/- 2160 )",16094,"(+/- 1634 )",21860,"(+/- 2255 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$2,000 to $2,499",24097,"(+/- 2023 )",25236,"(+/- 2782 )",30071,"(+/- 2726 )",26502,"(+/- 2684 )",21922,"(+/- 1934 )",25014,"(+/- 2191 )",24427,"(+/- 2431 )",13245,"(+/- 1899 )",18154,"(+/- 2302 )",19000,"(+/- 2313 )",24987,"(+/- 2584 )",22928,"(+/- 2473 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$2,500 to $2,999",15471,"(+/- 2070 )",11841,"(+/- 1390 )",19917,"(+/- 2144 )",20556,"(+/- 2203 )",24605,"(+/- 2553 )",18462,"(+/- 2287 )",23280,"(+/- 2062 )",9628,"(+/- 1647 )",18916,"(+/- 2184 )",11520,"(+/- 1777 )",28372,"(+/- 2427 )",20156,"(+/- 2508 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$3,000 or more",12760,"(+/- 1382 )",13121,"(+/- 1459 )",22080,"(+/- 2272 )",42688,"(+/- 2805 )",54028,"(+/- 3049 )",27501,"(+/- 2126 )",62732,"(+/- 3252 )",21548,"(+/- 2034 )",30177,"(+/- 3149 )",21886,"(+/- 2410 )",64613,"(+/- 3068 )",36690,"(+/- 2324 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Median (dollars)",1873,"(+/- 33 )",1850,"(+/- 43 )",1966,"(+/- 34 )",2422,"(+/- 47 )",2771,"(+/- 41 )",2379,"(+/- 46 )",2867,"(+/- 59 )",2637,"(+/- 87 )",2680,"(+/- 58 )",2368,"(+/- 54 )",2887,"(+/- 48 )",2463,"(+/- 61 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Housing units without a mortgage",61745,"(+/- 3251 )",72791,"(+/- 2846 )",74229,"(+/- 3421 )",76915,"(+/- 3978 )",70120,"(+/- 3447 )",49602,"(+/- 2582 )",64834,"(+/- 3422 )",28278,"(+/- 2788 )",46108,"(+/- 3148 )",29841,"(+/- 2275 )",65127,"(+/- 3453 )",61713,"(+/- 3605 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Less than $250",758,"(+/- 359 )",919,"(+/- 411 )",651,"(+/- 318 )",3135,"(+/- 1150 )",784,"(+/- 465 )",611,"(+/- 577 )",1013,"(+/- 417 )",399,"(+/- 278 )",1567,"(+/- 523 )",282,"(+/- 192 )",785,"(+/- 357 )",622,"(+/- 468 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$250 to $399",2690,"(+/- 853 )",2580,"(+/- 850 )",3029,"(+/- 791 )",3929,"(+/- 1211 )",675,"(+/- 376 )",570,"(+/- 349 )",913,"(+/- 412 )",475,"(+/- 244 )",1230,"(+/- 520 )",756,"(+/- 425 )",419,"(+/- 270 )",1905,"(+/- 659 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$400 to $599",6188,"(+/- 1164 )",10791,"(+/- 1429 )",12333,"(+/- 1386 )",7792,"(+/- 1505 )",1373,"(+/- 544 )",2319,"(+/- 667 )",2730,"(+/- 753 )",1565,"(+/- 568 )",2186,"(+/- 682 )",1725,"(+/- 711 )",1983,"(+/- 591 )",4181,"(+/- 1108 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$600 to $799",13941,"(+/- 1832 )",20638,"(+/- 1688 )",19581,"(+/- 2099 )",13950,"(+/- 1641 )",6064,"(+/- 1222 )",7275,"(+/- 1172 )",5931,"(+/- 1032 )",2642,"(+/- 851 )",4831,"(+/- 961 )",3301,"(+/- 694 )",4351,"(+/- 992 )",6687,"(+/- 1259 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$800 to $999",15124,"(+/- 1505 )",18040,"(+/- 1908 )",14912,"(+/- 1720 )",16108,"(+/- 2140 )",10329,"(+/- 1502 )",13227,"(+/- 1578 )",10315,"(+/- 1499 )",3492,"(+/- 892 )",8138,"(+/- 1445 )",5187,"(+/- 1102 )",8511,"(+/- 1241 )",12953,"(+/- 1828 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,000 or more",23044,"(+/- 2267 )",19823,"(+/- 1833 )",23723,"(+/- 2241 )",32001,"(+/- 2179 )",50895,"(+/- 2965 )",25600,"(+/- 2008 )",43932,"(+/- 2841 )",19705,"(+/- 2352 )",28156,"(+/- 2263 )",18590,"(+/- 1694 )",49078,"(+/- 2907 )",35365,"(+/- 2822 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Median (dollars)",883,"(+/- 23 )",814,"(+/- 19 )",818,"(+/- 21 )",928,"(+/- 22 )",1235,"(+/- 29 )",1014,"(+/- 25 )",1187,"(+/- 25 )",1192,"(+/- 45 )",1099,"(+/- 37 )",1122,"(+/- 28 )",1264,"(+/- 27 )",1072,"(+/- 36 )"
Housing,"Gross Rent","Occupied units paying rent",81953,"(+/- 3648 )",66135,"(+/- 3737 )",56310,"(+/- 3507 )",64474,"(+/- 4374 )",60102,"(+/- 3437 )",92304,"(+/- 4215 )",57351,"(+/- 3054 )",199289,"(+/- 5354 )",139615,"(+/- 4999 )",166080,"(+/- 5222 )",62753,"(+/- 3819 )",91468,"(+/- 3918 )"
Housing,"Gross Rent","Less than $500",6848,"(+/- 1187 )",7748,"(+/- 1261 )",2435,"(+/- 812 )",2839,"(+/- 926 )",2597,"(+/- 849 )",4955,"(+/- 1148 )",3723,"(+/- 961 )",14189,"(+/- 2055 )",10526,"(+/- 1369 )",21272,"(+/- 2091 )",2457,"(+/- 832 )",8862,"(+/- 1816 )"
Housing,"Gross Rent","$500 to $999",24135,"(+/- 2647 )",20351,"(+/- 2269 )",8962,"(+/- 1423 )",7304,"(+/- 1404 )",6668,"(+/- 1480 )",6862,"(+/- 1167 )",4654,"(+/- 959 )",33660,"(+/- 3354 )",18165,"(+/- 2097 )",36597,"(+/- 3437 )",5012,"(+/- 1385 )",10062,"(+/- 1865 )"
Housing,"Gross Rent","$1,000 to $1,499",31755,"(+/- 3046 )",24163,"(+/- 2657 )",22353,"(+/- 2009 )",27595,"(+/- 3278 )",25450,"(+/- 2735 )",37147,"(+/- 3533 )",18362,"(+/- 2000 )",71519,"(+/- 3763 )",61980,"(+/- 3793 )",64214,"(+/- 4357 )",18838,"(+/- 2153 )",36774,"(+/- 3421 )"
Housing,"Gross Rent","$1,500 to $1,999",14422,"(+/- 2341 )",11764,"(+/- 1881 )",14059,"(+/- 2003 )",15238,"(+/- 2255 )",13647,"(+/- 1972 )",28897,"(+/- 3036 )",17840,"(+/- 2106 )",38817,"(+/- 3344 )",28656,"(+/- 2913 )",30052,"(+/- 3220 )",16652,"(+/- 2104 )",23922,"(+/- 2486 )"
Housing,"Gross Rent","$2,000 to $2,499",3602,"(+/- 1289 )",1408,"(+/- 501 )",6746,"(+/- 1430 )",6932,"(+/- 1604 )",6593,"(+/- 1798 )",11190,"(+/- 1661 )",7810,"(+/- 1664 )",15234,"(+/- 1995 )",10987,"(+/- 1555 )",10241,"(+/- 2103 )",10332,"(+/- 1680 )",7547,"(+/- 1533 )"
Housing,"Gross Rent","$2,500 to $2,999",938,"(+/- 588 )",529,"(+/- 290 )",1419,"(+/- 585 )",2715,"(+/- 1135 )",2998,"(+/- 838 )",2570,"(+/- 765 )",2377,"(+/- 792 )",12398,"(+/- 1816 )",5860,"(+/- 1537 )",2717,"(+/- 916 )",6544,"(+/- 1717 )",2454,"(+/- 906 )"
Housing,"Gross Rent","$3,000 or more",253,"(+/- 250 )",172,"(+/- 160 )",336,"(+/- 214 )",1851,"(+/- 755 )",2149,"(+/- 765 )",683,"(+/- 338 )",2585,"(+/- 740 )",13472,"(+/- 1776 )",3441,"(+/- 1153 )",987,"(+/- 430 )",2918,"(+/- 836 )",1847,"(+/- 759 )"
Housing,"Gross Rent","Median (dollars)",1144,"(+/- 35 )",1086,"(+/- 33 )",1368,"(+/- 42 )",1397,"(+/- 36 )",1418,"(+/- 35 )",1470,"(+/- 25 )",1554,"(+/- 50 )",1354,"(+/- 27 )",1333,"(+/- 22 )",1170,"(+/- 22 )",1652,"(+/- 55 )",1361,"(+/- 40 )"
Housing,"Gross Rent","No rent paid",2367,"(+/- 653 )",2755,"(+/- 713 )",1921,"(+/- 507 )",2768,"(+/- 837 )",2928,"(+/- 986 )",2782,"(+/- 775 )",2816,"(+/- 771 )",2381,"(+/- 854 )",3707,"(+/- 1132 )",2864,"(+/- 838 )",2312,"(+/- 869 )",3184,"(+/- 979 )"
Socioeconomic,"Income and Benefits (In 2018 inflation-adjusted dollars)","Total households",268996,"(+/- 3749 )",261689,"(+/- 4699 )",282262,"(+/- 4186 )",278958,"(+/- 4302 )",263762,"(+/- 4091 )",248676,"(+/- 4354 )",262845,"(+/- 4142 )",287023,"(+/- 4904 )",273966,"(+/- 4032 )",275644,"(+/- 5203 )",272269,"(+/- 4225 )",273477,"(+/- 4930 )"
Socioeconomic,"Income and Benefits (In 2018 inflation-adjusted dollars)","Less than $10,000",15015,"(+/- 1859 )",15501,"(+/- 2234 )",8829,"(+/- 1449 )",10309,"(+/- 1489 )",7094,"(+/- 1298 )",12919,"(+/- 1864 )",7254,"(+/- 1472 )",20070,"(+/- 2342 )",16591,"(+/- 2291 )",26372,"(+/- 2663 )",6636,"(+/- 1367 )",14273,"(+/- 2511 )"
Socioeconomic,"Income and Benefits (In 2018 inflation-adjusted dollars)","$10,000 to $14,999",10016,"(+/- 1744 )",10611,"(+/- 1961 )",7299,"(+/- 1498 )",5976,"(+/- 1369 )",5401,"(+/- 1445 )",6794,"(+/- 1145 )",4737,"(+/- 1113 )",11285,"(+/- 1968 )",10457,"(+/- 2204 )",15601,"(+/- 2373 )",4261,"(+/- 1128 )",7799,"(+/- 1510 )"
Socioeconomic,"Income and Benefits (In 2018 inflation-adjusted dollars)","$15,000 to $24,999",23818,"(+/- 2505 )",23429,"(+/- 2800 )",17986,"(+/- 2610 )",20875,"(+/- 2505 )",16119,"(+/- 1925 )",16219,"(+/- 2420 )",11417,"(+/- 1757 )",27124,"(+/- 3442 )",23208,"(+/- 3239 )",26145,"(+/- 3001 )",11683,"(+/- 1914 )",16503,"(+/- 2466 )"
Socioeconomic,"Income and Benefits (In 2018 inflation-adjusted dollars)","$25,000 to $34,999",22106,"(+/- 2228 )",20959,"(+/- 2334 )",17961,"(+/- 1807 )",21362,"(+/- 2573 )",13627,"(+/- 2286 )",15208,"(+/- 2097 )",12957,"(+/- 1845 )",23502,"(+/- 2547 )",21175,"(+/- 2362 )",23950,"(+/- 2627 )",10611,"(+/- 1484 )",15282,"(+/- 2262 )"
Socioeconomic,"Income and Benefits (In 2018 inflation-adjusted dollars)","$35,000 to $49,999",27094,"(+/- 2516 )",32003,"(+/- 2642 )",31748,"(+/- 2870 )",23836,"(+/- 2406 )",19726,"(+/- 2321 )",20045,"(+/- 2150 )",17595,"(+/- 2028 )",32536,"(+/- 2952 )",27546,"(+/- 2878 )",27162,"(+/- 2690 )",17481,"(+/- 1980 )",25816,"(+/- 3317 )"
Socioeconomic,"Income and Benefits (In 2018 inflation-adjusted dollars)","$50,000 to $74,999",42437,"(+/- 3026 )",47801,"(+/- 3204 )",46909,"(+/- 3093 )",44281,"(+/- 3477 )",31541,"(+/- 2414 )",38188,"(+/- 2740 )",29780,"(+/- 2622 )",44512,"(+/- 3818 )",39829,"(+/- 3269 )",47725,"(+/- 3961 )",31670,"(+/- 2666 )",37264,"(+/- 3474 )"
Socioeconomic,"Income and Benefits (In 2018 inflation-adjusted dollars)","$75,000 to $99,999",33534,"(+/- 2828 )",32690,"(+/- 2516 )",40811,"(+/- 2519 )",32616,"(+/- 3132 )",29093,"(+/- 2324 )",31468,"(+/- 2734 )",29470,"(+/- 2572 )",32103,"(+/- 3099 )",35760,"(+/- 3576 )",34857,"(+/- 3323 )",33445,"(+/- 2932 )",31675,"(+/- 2986 )"
Socioeconomic,"Income and Benefits (In 2018 inflation-adjusted dollars)","$100,000 to $149,999",49996,"(+/- 3269 )",42843,"(+/- 2942 )",52501,"(+/- 2912 )",49154,"(+/- 3502 )",51398,"(+/- 3257 )",49605,"(+/- 3795 )",47375,"(+/- 3033 )",41525,"(+/- 2966 )",45356,"(+/- 3363 )",36475,"(+/- 3256 )",51691,"(+/- 3513 )",52288,"(+/- 3563 )"
Socioeconomic,"Income and Benefits (In 2018 inflation-adjusted dollars)","$150,000 to $199,000",23177,"(+/- 2068 )",16653,"(+/- 1810 )",28390,"(+/- 2105 )",29397,"(+/- 2789 )",34413,"(+/- 3090 )",28106,"(+/- 2881 )",36633,"(+/- 3086 )",23414,"(+/- 2274 )",22791,"(+/- 2289 )",18637,"(+/- 2377 )",37458,"(+/- 2965 )",30844,"(+/- 2541 )"
Socioeconomic,"Income and Benefits (In 2018 inflation-adjusted dollars)","$200,000 or more",21803,"(+/- 1802 )",19199,"(+/- 1901 )",29828,"(+/- 1998 )",41152,"(+/- 2661 )",55350,"(+/- 3312 )",30124,"(+/- 2294 )",65627,"(+/- 3196 )",30952,"(+/- 2625 )",31253,"(+/- 2475 )",18720,"(+/- 1679 )",67333,"(+/- 3283 )",41733,"(+/- 3324 )"
Socioeconomic,"Income and Benefits (In 2018 inflation-adjusted dollars)","Median household income (dollars)",71299,"(+/- 1838 )",63145,"(+/- 1735 )",80451,"(+/- 2085 )",84380,"(+/- 4051 )",106927,"(+/- 3003 )",85365,"(+/- 3473 )",118810,"(+/- 4016 )",65465,"(+/- 2526 )",73375,"(+/- 3920 )",59101,"(+/- 2722 )",118955,"(+/- 3573 )",89457,"(+/- 3479 )"
Socioeconomic,"Income and Benefits (In 2018 inflation-adjusted dollars)","Mean household income (dollars)",92576,"(+/- 2568 )",86639,"(+/- 2297 )",107039,"(+/- 2682 )",119645,"(+/- 3555 )",142645,"(+/- 4581 )",109732,"(+/- 2906 )",158568,"(+/- 4479 )",97920,"(+/- 3262 )",100402,"(+/- 2981 )",83615,"(+/- 2842 )",161072,"(+/- 4034 )",120493,"(+/- 4292 )"
Socioeconomic,"Health Insurance Coverage","Civilian noninstitutionalized population",724559,"(+/- 6349 )",685273,"(+/- 7270 )",724510,"(+/- 7757 )",743335,"(+/- 7705 )",722930,"(+/- 10291 )",723518,"(+/- 9170 )",722391,"(+/- 10599 )",759040,"(+/- 12524 )",762654,"(+/- 10776 )",749493,"(+/- 12896 )",737228,"(+/- 10702 )",749057,"(+/- 7678 )"
Socioeconomic,"Health Insurance Coverage","With health insurance coverage",680860,"(+/- 8030 )",638581,"(+/- 7886 )",688201,"(+/- 8249 )",709017,"(+/- 9233 )",688969,"(+/- 10181 )",677376,"(+/- 9694 )",693440,"(+/- 10091 )",640455,"(+/- 12725 )",665170,"(+/- 12514 )",666615,"(+/- 11441 )",706973,"(+/- 11513 )",693331,"(+/- 10856 )"
Socioeconomic,"Health Insurance Coverage","With private health insurance",522282,"(+/- 10473 )",479563,"(+/- 10875 )",563876,"(+/- 9363 )",580651,"(+/- 11967 )",597237,"(+/- 12268 )",546703,"(+/- 11943 )",611655,"(+/- 11286 )",417288,"(+/- 14049 )",465480,"(+/- 14756 )",435859,"(+/- 12497 )",620428,"(+/- 12634 )",569438,"(+/- 13186 )"
Socioeconomic,"Health Insurance Coverage","With public coverage",253011,"(+/- 8010 )",270149,"(+/- 8648 )",240943,"(+/- 8279 )",247302,"(+/- 10277 )",177977,"(+/- 7566 )",200094,"(+/- 8585 )",168595,"(+/- 6604 )",261639,"(+/- 9979 )",254772,"(+/- 9276 )",289161,"(+/- 14235 )",178151,"(+/- 7285 )",207808,"(+/- 8867 )"
Socioeconomic,"Health Insurance Coverage","No health insurance coverage",43699,"(+/- 5413 )",46692,"(+/- 5765 )",36309,"(+/- 3796 )",34318,"(+/- 5071 )",33961,"(+/- 3980 )",46142,"(+/- 5189 )",28951,"(+/- 4088 )",118585,"(+/- 9386 )",97484,"(+/- 8282 )",82878,"(+/- 6584 )",30255,"(+/- 5087 )",55726,"(+/- 8157 )"
Socioeconomic,"Health Insurance Coverage","Civilian noninstitutionalized population under 19 years",172039,"(+/- 2673 )",151032,"(+/- 2824 )",162199,"(+/- 4100 )",187486,"(+/- 5467 )",168063,"(+/- 5629 )",165259,"(+/- 5135 )",173083,"(+/- 4942 )",173654,"(+/- 7053 )",178828,"(+/- 5925 )",184638,"(+/- 6461 )",166990,"(+/- 5959 )",175853,"(+/- 6769 )"
Socioeconomic,"Health Insurance Coverage","No health insurance coverage",5887,"(+/- 2087 )",6861,"(+/- 1894 )",3905,"(+/- 1211 )",4222,"(+/- 1420 )",4372,"(+/- 1243 )",5274,"(+/- 1467 )",4188,"(+/- 1837 )",11084,"(+/- 2135 )",11465,"(+/- 2563 )",12201,"(+/- 2655 )",4994,"(+/- 2352 )",5308,"(+/- 2508 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","All families",8.1,"(+/- 1.1 )",8.3,"(+/- 1.2 )",4.1,"(+/- 0.7 )",5.1,"(+/- 1.0 )",3.5,"(+/- 0.8 )",7.8,"(+/- 1.1 )",3.0,"(+/- 0.6 )",12.3,"(+/- 1.4 )",11.0,"(+/- 1.4 )",13.0,"(+/- 1.5 )",3.3,"(+/- 0.8 )",5.2,"(+/- 1.2 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 18 years",13.9,"(+/- 2.0 )",14.1,"(+/- 2.4 )",6.3,"(+/- 1.5 )",8.7,"(+/- 1.8 )",4.6,"(+/- 1.5 )",11.9,"(+/- 1.8 )",4.4,"(+/- 1.2 )",19.2,"(+/- 2.4 )",15.9,"(+/- 2.1 )",19.2,"(+/- 2.7 )",5.4,"(+/- 1.7 )",7.8,"(+/- 2.1 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 5 years only",15.9,"(+/- 6.5 )",11.5,"(+/- 5.3 )",3.5,"(+/- 2.6 )",6.3,"(+/- 3.7 )",2.8,"(+/- 2.3 )",7.6,"(+/- 3.5 )",2.4,"(+/- 2.0 )",14.6,"(+/- 4.3 )",11.0,"(+/- 3.1 )",15.9,"(+/- 5.7 )",1.2,"(+/- 1.0 )",11.2,"(+/- 6.0 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Married couple families",2.5,"(+/- 0.8 )",4.0,"(+/- 0.9 )",2.1,"(+/- 0.5 )",3.9,"(+/- 0.9 )",1.6,"(+/- 0.5 )",3.7,"(+/- 0.8 )",1.4,"(+/- 0.4 )",6.6,"(+/- 1.3 )",6.7,"(+/- 1.3 )",5.7,"(+/- 1.3 )",2.1,"(+/- 0.7 )",2.2,"(+/- 0.8 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 18 years",3.2,"(+/- 1.6 )",5.6,"(+/- 1.8 )",2.2,"(+/- 1.1 )",6.9,"(+/- 1.9 )",1.6,"(+/- 0.7 )",4.0,"(+/- 1.2 )",1.2,"(+/- 0.6 )",9.7,"(+/- 2.3 )",8.3,"(+/- 1.9 )",7.1,"(+/- 2.2 )",3.0,"(+/- 1.4 )",2.1,"(+/- 1.1 )"
